userName,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,cleaned_content,sentiment,polarity
A Google user,Nice Appss..,5,0,1.2.5,2025-04-08 08:05:59,,,1.2.5,nice appss,Positive,0.6
A Google user,Great,5,0,1.2.5,2025-04-08 07:58:47,,,1.2.5,great,Positive,0.8
A Google user,excellent experience,5,0,1.2.5,2025-04-06 19:28:30,,,1.2.5,excellent experience,Positive,1.0
A Google user,trusted even government itself,5,0,1.2.5,2025-04-06 17:03:14,,,1.2.5,trusted even government itself,Neutral,0.0
A Google user,Ok,5,0,1.2.5,2025-04-05 19:38:43,,,1.2.5,ok,Positive,0.5
A Google user,Nice app.,5,0,1.2.5,2025-04-05 19:17:03,,,1.2.5,nice app,Positive,0.6
A Google user,👍🏻👍🏻👍🏻👍🏻,5,0,,2025-04-05 17:29:52,,,,,Neutral,0.0
A Google user,Useful and user friendly,5,0,1.2.5,2025-04-05 12:37:31,,,1.2.5,useful and user friendly,Positive,0.3375
A Google user,service ok..kualitas terpercaya,5,0,1.2.5,2025-04-05 09:06:15,,,1.2.5,service okkualitas terpercaya,Neutral,0.0
A Google user,puas bgt sama Shell 👍👍👍👍 tetap jaga kualitas bahan bakarnya yaa 🙏,5,0,1.2.5,2025-04-04 21:40:56,,,1.2.5,puas bgt sama shell tetap jaga kualitas bahan bakarnya yaa,Neutral,0.0
A Google user,"simple but all round, user friendly",5,0,1.2.5,2025-04-04 15:54:17,,,1.2.5,simple but all round user friendly,Neutral,0.05833333333333333
A Google user,👍,5,0,1.2.5,2025-04-04 14:10:21,,,1.2.5,,Neutral,0.0
A Google user,superb experiance,5,0,1.2.5,2025-04-04 07:30:43,,,1.2.5,superb experiance,Positive,1.0
A Google user,Suka sangat!,5,0,1.2.5,2025-04-03 20:47:54,,,1.2.5,suka sangat,Neutral,0.0
A Google user,very good,5,0,1.2.4,2025-04-03 19:09:33,,,1.2.4,very good,Positive,0.9099999999999999
A Google user,very nice,5,0,,2025-04-03 09:31:16,,,,very nice,Positive,0.78
A Google user,easy to use and love shell promotion🥰,5,0,1.2.5,2025-04-03 07:11:19,,,1.2.5,easy to use and love shell promotion,Positive,0.4666666666666667
A Google user,great fuel with well mannered staff,5,0,1.2.5,2025-04-02 14:49:56,,,1.2.5,great fuel with well mannered staff,Positive,0.8
A Google user,tolong tambahkan fitur bahwa di spbu tersebut ada stok bensin atau sedang kosong,5,0,1.2.5,2025-04-02 10:45:33,,,1.2.5,tolong tambahkan fitur bahwa di spbu tersebut ada stok bensin atau sedang kosong,Neutral,0.0
A Google user,very useful app,5,0,1.2.5,2025-04-01 22:44:40,,,1.2.5,very useful app,Positive,0.39
A Google user,Nice...,5,0,1.2.5,2025-04-01 20:35:46,,,1.2.5,nice,Positive,0.6
A Google user,best app,5,0,1.2.5,2025-04-01 19:41:54,,,1.2.5,best app,Positive,1.0
A Google user,Best GAS Station on Indonesia 🫰🥳,5,0,1.2.5,2025-04-01 08:47:16,,,1.2.5,best gas station on indonesia,Positive,1.0
A Google user,good,5,0,1.2.5,2025-03-31 21:48:01,,,1.2.5,good,Positive,0.7
A Google user,good,5,0,,2025-03-31 16:03:19,,,,good,Positive,0.7
A Google user,good,5,0,1.2.5,2025-03-31 09:45:11,,,1.2.5,good,Positive,0.7
A Google user,very good petrol pump,5,0,1.2.5,2025-03-30 20:58:23,We are glad you like the experience. Hope to keep delighting you!,2025-04-04 16:16:05,1.2.5,very good petrol pump,Positive,0.9099999999999999
A Google user,"easy to use, and convenient to use.",5,0,1.2.5,2025-03-30 20:08:34,,,1.2.5,easy to use and convenient to use,Positive,0.43333333333333335
A Google user,nice fuel great service,5,0,1.2.5,2025-03-30 17:26:32,Thank you for the awesome feedback!,2025-04-04 16:16:16,1.2.5,nice fuel great service,Positive,0.7
A Google user,KEREN SIH,5,0,1.2.5,2025-03-30 15:55:46,,,1.2.5,keren sih,Neutral,0.0
A Google user,Easy to use,5,0,1.2.5,2025-03-30 14:59:52,,,1.2.5,easy to use,Positive,0.43333333333333335
A Google user,excellent,5,0,1.2.5,2025-03-30 14:13:38,,,1.2.5,excellent,Positive,1.0
A Google user,poonamali team Excellent,5,0,1.2.5,2025-03-29 14:46:26,We are glad you like the experience. Hope to keep delighting you!,2025-04-04 16:16:16,1.2.5,poonamali team excellent,Positive,1.0
A Google user,very good....,5,0,1.2.5,2025-03-29 12:37:58,We are glad you like the experience. Hope to keep delighting you!,2025-04-04 16:16:26,1.2.5,very good,Positive,0.9099999999999999
A Google user,"nice, kurang promo aja dan kurang banyak cabang di daerah",5,0,1.2.5,2025-03-29 11:45:20,,,1.2.5,nice kurang promo aja dan kurang banyak cabang di daerah,Positive,0.6
A Google user,the fuel is recommended suitable with my transportation,5,0,1.2.5,2025-03-28 21:27:51,,,1.2.5,the fuel is recommended suitable with my transportation,Positive,0.55
A Google user,ok,5,0,1.2.4,2025-03-28 18:56:33,,,1.2.4,ok,Positive,0.5
A Google user,best service,5,0,,2025-03-28 16:59:02,We are glad you like the experience. Hope to keep delighting you!,2025-04-04 16:16:37,,best service,Positive,1.0
A Google user,Good 👍,5,0,1.2.5,2025-03-28 14:36:10,,,1.2.5,good,Positive,0.7
A Google user,I'm download keep trying register n get OTP code cannot receive?,5,0,1.2.5,2025-03-28 11:57:54,,,1.2.5,im download keep trying register n get otp code cannot receive,Neutral,0.0
A Google user,very useful apps,5,0,1.2.5,2025-03-28 11:40:03,,,1.2.5,very useful apps,Positive,0.39
A Google user,beautiful,5,0,1.2.5,2025-03-28 10:06:23,Thank you for the awesome feedback!,2025-04-04 16:16:37,1.2.5,beautiful,Positive,0.85
A Google user,goood service,5,0,1.2.5,2025-03-28 06:14:47,,,1.2.5,goood service,Neutral,0.0
A Google user,Awesome,5,0,,2025-03-27 22:28:35,Thank you for the awesome feedback!,2025-04-04 16:16:48,,awesome,Positive,1.0
A Google user,Good,5,0,1.2.5,2025-03-27 19:46:01,We are glad you like the experience. Hope to keep delighting you!,2025-04-04 16:16:47,1.2.5,good,Positive,0.7
A Google user,"Bisa redem point, sangat menarik.",5,0,1.2.5,2025-03-27 18:38:20,,,1.2.5,bisa redem point sangat menarik,Neutral,0.0
A Google user,super to good,5,0,1.2.5,2025-03-27 13:55:16,We are glad you like the experience. Hope to keep delighting you!,2025-04-04 16:17:11,1.2.5,super to good,Positive,0.5166666666666666
A Google user,nice,5,0,1.2.5,2025-03-27 13:32:29,,,1.2.5,nice,Positive,0.6
A Google user,exelent service,5,0,1.2.5,2025-03-27 09:28:45,Thank you for the awesome feedback!,2025-04-04 16:17:08,1.2.5,exelent service,Neutral,0.0
A Google user,Best,5,0,1.2.5,2025-03-27 08:06:16,,,1.2.5,best,Positive,1.0
A Google user,mudah penggunaannya,5,0,1.2.5,2025-03-27 02:45:19,,,1.2.5,mudah penggunaannya,Neutral,0.0
A Google user,good,5,0,1.2.5,2025-03-26 22:09:26,We are glad you like the experience. Hope to keep delighting you!,2025-04-04 16:17:19,1.2.5,good,Positive,0.7
A Google user,easy to manage & can redeem the bonus link point,5,0,1.2.5,2025-03-26 16:46:21,,,1.2.5,easy to manage can redeem the bonus link point,Positive,0.43333333333333335
A Google user,i love it ❤,5,0,1.2.5,2025-03-26 16:04:48,Thank you for the awesome feedback!,2025-04-04 16:17:30,1.2.5,i love it,Positive,0.5
A Google user,Excellent,5,0,1.2.5,2025-03-26 14:41:17,,,1.2.5,excellent,Positive,1.0
A Google user,awesome app,5,0,1.2.5,2025-03-26 12:37:39,,,1.2.5,awesome app,Positive,1.0
A Google user,good 👍,5,0,1.2.5,2025-03-26 11:29:55,We are glad you like the experience. Hope to keep delighting you!,2025-04-04 16:17:30,1.2.5,good,Positive,0.7
A Google user,easy to use,5,0,1.2.5,2025-03-26 11:17:49,,,1.2.5,easy to use,Positive,0.43333333333333335
A Google user,nice good super,5,0,1.2.4,2025-03-26 09:29:00,,,1.2.4,nice good super,Positive,0.5444444444444444
A Google user,very good,5,0,1.2.5,2025-03-25 21:59:47,,,1.2.5,very good,Positive,0.9099999999999999
A Google user,better experience,5,0,1.2.5,2025-03-25 15:50:33,We are glad you like the experience. Hope to keep delighting you!,2025-04-04 16:17:42,1.2.5,better experience,Positive,0.5
A Google user,easy to use,5,0,1.2.5,2025-03-25 14:50:21,,,1.2.5,easy to use,Positive,0.43333333333333335
A Google user,good stuff,5,0,1.2.4,2025-03-25 14:06:56,Thank you for the awesome feedback!,2025-04-04 16:17:42,1.2.4,good stuff,Positive,0.7
A Google user,super,5,0,1.2.5,2025-03-25 13:37:51,We are glad you like the experience. Hope to keep delighting you!,2025-04-04 16:17:53,1.2.5,super,Positive,0.3333333333333333
A Google user,good service from shell stuff 😁👍,5,0,1.2.5,2025-03-24 18:17:41,We are glad you like the experience. Hope to keep delighting you!,2025-04-04 16:18:14,1.2.5,good service from shell stuff,Positive,0.7
A Google user,just perfect,5,0,1.2.5,2025-03-24 14:56:52,We are glad you like the experience. Hope to keep delighting you!,2025-04-04 16:18:38,1.2.5,just perfect,Positive,1.0
A Google user,great,5,0,,2025-03-24 14:18:49,,,,great,Positive,0.8
A Google user,very good,5,0,1.2.5,2025-03-24 11:47:19,Thank you for the awesome feedback!,2025-04-04 16:18:50,1.2.5,very good,Positive,0.9099999999999999
A Google user,nice,5,0,1.2.5,2025-03-24 07:16:11,,,1.2.5,nice,Positive,0.6
A Google user,good app to pay at pump,5,2,1.2.5,2025-03-24 06:42:54,,,1.2.5,good app to pay at pump,Positive,0.7
A Google user,Good jobs,5,0,1.2.5,2025-03-24 00:51:30,,,1.2.5,good jobs,Positive,0.7
A Google user,excellent,5,0,,2025-03-23 19:59:54,,,,excellent,Positive,1.0
A Google user,shell go best,5,0,1.2.5,2025-03-23 17:00:40,Thank you for writing in! Keep your notifications on for more exciting offers and updates.,2025-04-04 16:19:02,1.2.5,shell go best,Positive,1.0
A Google user,best one,5,0,1.2.5,2025-03-23 10:05:49,We are glad you like the experience. Hope to keep delighting you!,2025-04-04 16:19:45,1.2.5,best one,Positive,1.0
A Google user,mantul,5,0,1.2.5,2025-03-23 08:41:09,,,1.2.5,mantul,Neutral,0.0
A Google user,"the services, petugasnya, toiletnya, shopnya, kopinya. Terbaik 👍🏻👍🏻👍🏻",5,0,,2025-03-23 07:33:31,,,,the services petugasnya toiletnya shopnya kopinya terbaik,Neutral,0.0
A Google user,"Dev team / Shell.. please add Real-time fuel status availability for each station, thanks",5,14,1.2.5,2025-03-23 05:38:08,,,1.2.5,dev team shell please add realtime fuel status availability for each station thanks,Positive,0.2
A Google user,good,5,0,1.2.5,2025-03-22 19:36:03,We are glad you like the experience. Hope to keep delighting you!,2025-04-04 16:19:45,1.2.5,good,Positive,0.7
A Google user,very nice petrol pump ⛽,5,0,1.2.5,2025-03-22 19:34:32,We are glad you like the experience. Hope to keep delighting you!,2025-04-04 16:19:56,1.2.5,very nice petrol pump,Positive,0.78
A Google user,more reward👍,5,0,1.2.5,2025-03-22 14:19:52,,,1.2.5,more reward,Positive,0.5
A Google user,Super points,5,0,1.2.5,2025-03-22 03:52:11,We appreciate your feedback and are glad you love the points feature!,2025-04-04 16:20:17,1.2.5,super points,Positive,0.3333333333333333
A Google user,nice,5,0,1.2.5,2025-03-22 03:20:08,,,1.2.5,nice,Positive,0.6
A Google user,"deli2go service was super,anandi did good 👍😊 stuff",5,0,1.2.5,2025-03-21 17:50:59,Thank you for the awesome feedback!,2025-04-04 16:20:28,1.2.5,deligo service was superanandi did good stuff,Positive,0.7
A Google user,👍🏻👍🏻👍🏻 shell,5,0,1.2.5,2025-03-21 14:18:42,,,1.2.5,shell,Neutral,0.0
A Google user,Mantul,5,0,1.2.5,2025-03-21 09:45:06,,,1.2.5,mantul,Neutral,0.0
A Google user,support 💕,5,0,1.2.5,2025-03-20 21:03:34,,,1.2.5,support,Neutral,0.0
A Google user,good experience in shell,5,0,1.2.5,2025-03-20 15:33:39,We are glad you like the experience. Hope to keep delighting you!,2025-04-04 16:20:28,1.2.5,good experience in shell,Positive,0.7
A Google user,nice,5,0,,2025-03-20 14:30:25,,,,nice,Positive,0.6
A Google user,super,5,0,1.2.5,2025-03-20 10:52:31,Thank you for the awesome feedback!,2025-04-04 16:20:38,1.2.5,super,Positive,0.3333333333333333
A Google user,very good,5,0,1.2.5,2025-03-19 18:47:45,,,1.2.5,very good,Positive,0.9099999999999999
