,content
997,you have to start a bike service also
445,wow so cute offer
1582,"worst service, many times not functioning, operators are not trained to use this app"
1405,worst app! admin please terminate this unresponsive app. waste time and efforts.
1251,worst app in the world... cannot write otp number
1555,worst app i tried to get shell bag which was offered to me but due to its unavaliability i didnt get the bag .this app is a scam . dont go with shell they ask to go with its premium petrol offering free bags and so on but stocks are nowhere available. would not have given one star also.
1336,worst app i have.. i never can used it if i want refill oil . the. app not ok manjang ..bodoh lain kli tak payah buat app klau x boleh guna jee asyik technical issue manjang . buto
1262,"worst app and feature, better pay at counter. if wana improve make it like setel app."
1385,"worse app that i have ever encountered. link a credit card take so long. petronas setel app is better than yours. shame on you, for big company like this."
88,working smooth and easy
