Year,Region,OU,Vendor,Modified_Vendor,PR,PO,PO_Issue_Date,PO_End_Date,PO_Description, Requested_Amount ,Currency,OA,OA_Line_Item,OA_Expiration,OA_Currency,Cost_Center_WBS_Element,Vendor_Code,Material_Group,Plant,Purchasing_Group,Purchasing_Org,GL_Account,Requisitioner,SM_TO_USE,Approver_for_SES_GR,OUTLOOK_CODE,Approver_for_PR,OLD_PO,Note,EXTRA_NOTES,,,
2025,AP,HK,T-SYSTEMS PR CHINA LTD,TSI,34210771,4545704198,10-12-2024,31-01-2026,Telecom Invoices 2025,"1,83,000.00",CNY,4600565363,20,31-12-2027,CNY,HK02000755,68075898,KA7142,H116,S1N,HK04,7450050,NLASZD,5284070,DIT,Telecom,Emily Leung (HKELE0),4543121770,,,,,
2025,AP,ID,CAPILLARY PTE. LTD.,Capillary,34190454,4545558815,20-11-2024,31-12-2025,Loyalty R&M 2025,"2,44,998.00",USD,4600612509,20,15-08-2026,USD,ID01000396,68116983,KA7551,I022,O9P,ID04,7220175,USLMAN,5304701,Aritra Kundu,Legacy,Kamil Afrizal (IDKAF0),4542855012,,,,,
2024,AP,ID,HUGHES NETWORK SYSTEMS LLC,HNS,33823364,4543081805,02-01-2024,31-01-2025,MRC Charges 2024,"13,25,000.00",USD,4600528941,130,01-04-2025,USD,ID01000343,68043005,KA7267,I022,K1A,ID04,7450050,INGSUM,5286410,DIT,Telecom,Apik Katina (JKAKA1),4540270092,2/24 PO was re-opened due to the PCI invoice being rejected by AP due to the COR/COD - will be open through Q1,,,,
2025,AP,ID,HUGHES NETWORK SYSTEMS LLC,HNS,34212268,4545717134,12-12-2024,31-01-2026,MRC Charges 2025,"1,40,00,000.00",USD,4600528941,130,01-04-2025,USD,ID01000343,68043005,KA7267,I022,S1N,ID04,7450050,INGSUM,5286410,DIT,Telecom,Apik Katina (JKAKA1),4543081805,,,,,
2025,AP,ID,PT EIT Services Indonesia ,PT EIT Services ,34190408,4545560645,20-11-2024,31-12-2025,Faulty Hardware repair services-2025,"59,77,05,111.00",IDR,4600607867,70,31-12-2025,IDR,ID01000946,68101792,KA7265,I022,S1N,ID04,7220175,USLMAN,5296818,Sowmya Palasamudram,Legacy,Kamil Afrizal (IDKAF0),4544770299,,,,,
2025,AP,ID,PT EIT Services Indonesia ,PT EIT Services ,34190409,4545560646,20-11-2024,31-12-2025,DXC annual support services year- 2025,"5,95,49,06,208.00",IDR,4600607867,10,31-12-2025,IDR,ID01000946,68101792,KA7265,I022,S1N,ID04,7220175,USLMAN,5296804,Sowmya Palasamudram,Legacy,Kamil Afrizal (IDKAF0),4544770296,,,,,
2025,AP,ID,PT EIT Services Indonesia ,PT EIT Services ,34190410,4545560647,20-11-2024,31-12-2025,DXC Preventative Maintenance service support year- 2025,"80,33,65,145.00",IDR,4600607867,30,31-12-2025,IDR,ID01000946,68101792,KA7265,I022,S1N,ID04,7220175,USLMAN,5296808,Sowmya Palasamudram,Legacy,Kamil Afrizal (IDKAF0),4544770292,,,,,
2025,AP,IN,Capillary Technologies India Limited ,Capillary,34249381,4546032308,27-01-2025,31-12-2025,Loyalty R&M cost 2025,"1,95,68,955.00",INR,4600780141,50,28-06-2025,INR,IN02000456,68112247,LD5692,I387,S1N,IN04,7220175,USLMAN,5351652,Aritra Kundu,Legacy,Kartiki Karihaloo (INKKF8),4542921675,you will get error that the G/L is wrong when creating the SES so you have to use 7220175,,,,
2025,AP,IN,Conquer Technologies,Conquer,34369183,4546624487,16-04-2025,31-01-2026,"Line Item 100: Mobile, Samsung Galazy A05 7,489.00 @ 250 = 1,872,250.00","1,87,22,550.00",INR,No OA,No OA,No OA,No OA,IN02000456,68111468,72CAAA,I387,S1N,IN04,7220175,USLMAN,900017537,Vivek Kanthwal,Legacy,Jerrill Sebastin (INJSEH),,,,,,
2025,AP,IN,Conquer Technologies,Conquer,34369183,4546624487,16-04-2025,31-01-2026,"Line Item 200: Tempered Glass, Samsung Galaxy A05 269.00 @250 = 67,250.00","67,250.00",INR,No OA,No OA,No OA,No OA,IN02000456,68111468,72CAAA,I387,S1N,IN04,7220175,USLMAN,900017537,Vivek Kanthwal,Legacy,Jerrill Sebastin (INJSEH),,,,,,
2025,AP,IN,Conquer Technologies,Conquer,34369183,4546624487,16-04-2025,31-01-2026,"Line Item 300: Rugged Case (Mobile Cover), Samsung Galaxy A05 269.00 @250.00 = 67,250.00","67,250.00",INR,No OA,No OA,No OA,No OA,IN02000456,68111468,72CAAA,I387,S1N,IN04,7220175,USLMAN,900017537,Vivek Kanthwal,Legacy,Jerrill Sebastin (INJSEH),,,,,,
2025,AP,IN,Conquer Technologies,Conquer,34369183,4546624487,16-04-2025,31-01-2026,"Line Item 400: Type C Fast Charger Adapter 509.00 @150 = 76,350.00","76,350.00",INR,No OA,No OA,No OA,No OA,IN02000456,68111468,72CAAA,I387,S1N,IN04,7220175,USLMAN,900017537,Vivek Kanthwal,Legacy,Jerrill Sebastin (INJSEH),,,,,,
